property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at,source_url,collection_date
A0170,Ar Rawdah,الروضة,Apartments,75000,129.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Rawdah,2025-09-11T10:43:33.898Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0169,Qurtubah,حي قرطبة,Apartments,110000,157.0,2,3,Fully furnished,Rented out,2 Bedrooms Apartment in Qurtubah,2025-09-10T14:40:08.579Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0096,Al Wadi,الوادي,Apartments,95000,103.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Wadi,2025-04-09T14:44:02.574Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0218,Al Olaya,حي العليا,Apartments,75000,120.0,2,2,Unfurnished,Rented out,2 Beds with an In-Unit Office in Al Olaya,2026-03-18T16:46:57.818Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0171,Al Aqiq,العقيق,Apartments,105000,100.0,2,2,Fully furnished,Rented out,2 Beds Furnished in a Family Community for Rent - Al Aqiq,2025-09-15T12:44:30.822Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0032,An Nuzhah,النزهة,Duplex,120000,259.0,3,5,Unfurnished,Rented out,Duplex in Al Nuzhah,2025-09-11T09:37:38.363Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0127,King Salman Neighborhood,,Apartments,85000,123.0,3,3,Unfurnished,Rented out,3 Beds Apartment in King Salman Neighborhood,2025-05-19T11:02:28.369Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0033,Alyasmin,الياسمين,Duplex,140000,108.0,3,4,Unfurnished,Rented out,Duplex in Al Yasmin,2025-09-14T14:01:04.197Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0031,Al Aqiq,حي العقيق,Duplex,220000,280.0,3,3,Fully furnished,Rented out,New Duplex in Al Aqiq,2025-08-27T07:02:39.169Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0167,Al Qirawan,القيروان,Apartments,65000,110.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Qairawan,2025-08-24T07:51:08.240Z,https://apiv2.satel.sa/property/filter,2026-09-11
C0029,As Sahafah,حي الصحافة,Duplex,210000,236.0,5,3,Fully furnished,Rented out,5 Beds Duplex in Al Sahafah,2025-08-11T13:39:31.525Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0163,Al Malaz,الملز,Compounds,58000,62.0,1,2,Unfurnished,Rented out,SATEL at La Brise – 1 Bedroom Apartment,2025-08-03T07:36:47.166Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0161,Al Malaz,الملز,Compounds,65000,94.0,2,2,Unfurnished,Rented out,SATEL at La Brise – 2 Bedrooms Apartment,2025-07-30T12:57:45.833Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0168,Al Ghadir,حي الغدير,Apartments,63000,150.0,3,2,Unfurnished,Available,3 Bedrooms Apartment in Al Ghadir,2025-08-24T08:39:32.784Z,https://apiv2.satel.sa/property/filter,2026-09-11
