property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at
A0117,Al Aqiq,,Apartments,145000,145.0,3,3,Fully furnished,Rented out,Furnished 3 Bedrooms Apartment in Al Aqiq — New,2025-05-05 14:39:20.911000+00:00
A0116,An Nakheel,النخيل,Apartments,155000,130.0,3,4,Unfurnished,Rented out,3 Master Bedrooms Apartment — 15th Floor | Al Nakheel,2025-05-05 08:30:18.642000+00:00
A0113,Al Mohammadiyyah,,Apartments,150000,124.0,2,3,Fully furnished,Rented out,2 Bedrooms Apartment in Al Mohammadiyyah,2025-04-30 08:29:42.072000+00:00
A0173,Al Olaya,حي العليا,Apartments,90000,120.0,2,2,Fully furnished,Rented out,"2 Beds | Live, Work & Train — Al Olaya",2025-09-17 09:05:59.593000+00:00
V0029,Al Aarid,حي العارض,Villas,145000,360.0,4,6,Unfurnished,Rented out,Villa in Al Arid,2025-04-16 09:18:21.202000+00:00
A0101,Al Malqa,حي الملقا,Apartments,90000,128.0,3,3,Fully furnished,Rented out,Furnished 3 Beds Apartment in Al Malqa,2025-04-13 15:56:41.040000+00:00
A0100,Al Aarid,حي العارض,Apartments,90000,102.0,2,3,Unfurnished,Rented out,2 Master Bedrooms Apartment — Al Arid,2025-04-13 15:14:06.655000+00:00
A0098,As Sulimaniyah,السليمانية,Apartments,160000,104.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Al Sulimaniyah,2025-04-12 10:56:31.612000+00:00
C0019,Al Wurud,الورود,Studio,75000,77.0,1,1,Fully furnished,Available,New Studio for Rent — Al Wurud,2025-04-08 10:13:43.931000+00:00
A0095,Qurtubah,قرطبة,Apartments,80000,151.0,3,4,Unfurnished,Rented out,3 Master Bedrooms Apartment — Qurtubah,2025-04-07 14:40:02.661000+00:00
A0091,An Nakheel,النخيل,Apartments,170000,121.0,2,3,Unfurnished,Rented out,2 Bedrooms Apartment in Al Nakheel,2025-04-03 13:04:45.399000+00:00
A0087,An Narjis,النرجس,Apartments,70000,147.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Narjis,2025-03-26 10:47:52.617000+00:00
V0028,Ar Rabwah,الربوة,Villas,230000,350.0,4,7,Unfurnished,Rented out,Villa in Al Rabwah,2025-02-19 12:21:17.865000+00:00
A0081,Al Malqa,حي الملقا,Apartments,110000,139.0,3,4,Fully furnished,Rented out,Furnished 3 Beds Apartment in Al Malqa,2025-02-19 08:55:34.993000+00:00
A0077,Hittin,حطين,Apartments,75000,130.0,3,4,Unfurnished,Rented out,3 Bedrooms Apartment in Hittin,2025-02-12 13:40:22.816000+00:00
C0016,At Taawun,التعاون,Floor,80000,135.0,3,3,Unfurnished,Rented out,New Floor in Al Taawun,2025-02-12 12:49:11.154000+00:00
C0015,At Taawun,التعاون,Floor,90000,140.0,3,3,Unfurnished,Rented out,GF in Al Taawun — New,2025-02-12 10:19:49.863000+00:00
A0072,As Sulimaniyah,العليا,Apartments,120000,130.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Sulimaniyah,2025-02-06 09:10:20.854000+00:00
A0069,Al Olaya,حي العليا,Apartments,70000,120.0,3,2,Unfurnished,Rented out,Furnished 2 Beds Apartment in Al Olaya,2025-02-04 09:24:24.660000+00:00
C0009,Al Mohammadiyyah,,Apartments,160000,120.0,2,3,Fully furnished,Rented out,2 Beds Apartment in Al Mohammadiyyah,2025-01-09 13:54:41.040000+00:00
V0024,An Narjis,النرجس,Villas,120000,205.0,3,5,Fully furnished,Rented out, Villa in Al Narjis,2025-01-07 08:01:44.325000+00:00
A0075,An Nakheel,حي النخيل,Apartments,125000,169.0,3,3,Unfurnished,Rented out,3 Beds Apartment in Al Nakheel,2024-12-24 09:40:22.547000+00:00
C0006,As Sulimaniyah,السليمانية,Duplex,149999,148.0,3,2,Fully furnished,Rented out,Elevate Your Lifestyle – New Duplexes with Gym in Al Sulimaniyah,2024-12-24 07:45:19.452000+00:00
C0004,As Sulimaniyah,السليمانية,Duplex,110000,148.0,3,3,Unfurnished,Rented out,Satel Duplexes – Al Sulaymaniyah,2024-12-24 07:37:51.641000+00:00
V0022,Al Olaya,العليا,Villas,220000,195.0,4,3,Unfurnished,Rented out,Villa in Al Olaya,2024-12-19 16:21:44.082000+00:00
