property_id,neighborhood_ar,neighborhood_key,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,living_rooms,furnished,ac,lift,maid_room,driver_room,pool,created_at,log_annual_rent,price_outlier_iqr,area_flag
6514525,النرجس,النرجس,Apartments,60000.0,630.0,3,2,1,0,1,0,0,0,0,2025-12-20 23:02:52+00:00,11.002099841204238,False,False
6523173,النرجس,النرجس,Apartments,70000.0,117.0,3,3,1,0,1,0,0,0,0,2025-12-27 15:31:20+00:00,11.156250521031495,False,False
6393294,الملك فيصل,الملك فيصل,Apartments,29000.0,60.0,1,1,1,0,1,0,0,0,0,2025-09-22 07:54:03+00:00,10.275051108968611,False,False
6346025,الخليج,الخليج,Apartments,26000.0,50.0,1,1,1,0,1,0,0,0,0,2025-08-23 11:55:51+00:00,10.165851817003619,False,False
6514155,الزهره,الزهره,Floor,40000.0,300.0,4,3,1,0,0,0,0,0,0,2025-12-20 17:13:21+00:00,10.596634733096073,False,False
6427703,الياسمين,الياسمين,Floor,75000.0,390.0,3,1,0,0,0,0,0,0,0,2025-10-17 00:43:45+00:00,11.225243392518447,False,False
6465090,حطين,حطين,Apartments,50000.0,378.0,2,2,1,0,1,0,0,0,0,2025-11-12 18:13:30+00:00,10.819778284410283,False,False
6432960,قرطبه,قرطبه,Apartments,30000.0,70.0,1,1,1,0,0,0,0,0,0,2025-10-20 20:53:56+00:00,10.308952660644293,False,False
6491564,المونسيه,المونسيه,Villas,78000.0,380.0,7,3,1,0,1,0,0,0,0,2025-12-03 13:10:08+00:00,11.26446410567173,False,False
6299241,الشرق,الشرق,Floor,60000.0,153.0,3,4,1,0,0,0,0,0,0,2025-07-24 11:43:51+00:00,11.002099841204238,False,False
6457142,بدر,بدر,Floor,35000.0,240.0,4,3,1,0,0,0,0,0,0,2025-11-06 21:19:58+00:00,10.46310334047155,False,False
6427063,السليمانيه,السليمانيه,Apartments,45000.0,130.0,2,2,1,0,0,1,0,0,0,2025-10-16 15:15:45+00:00,10.714417768752456,False,False
6461895,اشبيليه,اشبيليه,Apartments,60000.0,133.0,4,3,1,0,1,0,0,0,0,2025-11-10 15:34:58+00:00,11.002099841204238,False,False
6434144,السعاده,السعاده,Apartments,50000.0,148.0,4,3,1,0,1,1,0,0,0,2025-10-21 15:41:37+00:00,10.819778284410283,False,False
6388814,السلام,السلام,Apartments,53000.0,500.0,3,2,1,0,1,1,0,0,0,2025-09-18 18:31:16+00:00,10.87804719253426,False,False
6478362,السعاده,السعاده,Villas,75000.0,500.0,6,5,1,0,0,0,0,0,0,2025-11-23 18:35:56+00:00,11.225243392518447,False,False
6336358,الرمال,الرمال,Apartments,50000.0,103.0,2,3,1,0,1,1,0,0,0,2025-08-17 15:09:01+00:00,10.819778284410283,False,False
6509207,النرجس,النرجس,Apartments,115000.0,116.0,3,3,3,1,1,1,0,0,0,2025-12-16 15:06:13+00:00,11.652687407345388,False,False
6488710,ظهره نمار,ظهره نمار,Villas,80000.0,212.0,7,5,2,0,0,0,1,0,0,2025-12-01 15:50:23+00:00,11.289781913656018,False,False
6514973,الروضه,الروضه,Apartments,65000.0,1140.0,2,1,1,0,1,0,0,0,0,2025-12-21 11:52:05+00:00,11.082142548877775,False,True
6408462,الرمال,الرمال,Villas,75000.0,175.0,6,,,0,0,0,0,0,0,2025-10-02 18:58:18+00:00,11.225243392518447,False,False
6404993,بدر,بدر,Villas,50000.0,315.0,5,5,2,1,1,0,1,0,0,2025-09-30 14:34:35+00:00,10.819778284410283,False,False
6524139,غبيره,غبيره,Apartments,27000.0,204.0,3,2,1,0,0,1,0,0,0,2025-12-28 11:54:09+00:00,10.203592144986466,False,False
6489680,النرجس,النرجس,Apartments,65000.0,155.0,4,,,0,0,0,0,0,0,2025-12-02 10:30:06+00:00,11.082142548877775,False,False
6493884,الوادي,الوادي,Apartments,25000.0,20.0,1,1,0,0,1,1,0,0,0,2025-12-05 08:31:37+00:00,10.126631103850338,False,False
6382437,النفل,النفل,Apartments,26000.0,100.0,1,1,0,0,0,0,0,0,0,2025-09-15 04:08:28+00:00,10.165851817003619,False,False
6521428,السعاده,السعاده,Apartments,25000.0,60.0,1,1,0,0,1,1,0,0,0,2025-12-25 16:57:29+00:00,10.126631103850338,False,False
6475797,قرطبه,قرطبه,Apartments,88000.0,150.0,3,4,1,0,1,1,0,0,0,2025-11-21 14:06:31+00:00,11.385092093460344,False,False
